Instancia;Metrica;Tempo;Memoria;Custo
4;euc;111.8;27575;3895.8
4;euc;1434.2;842018;3290.3
4;euc;27.7;12515;3373.1
4;euc;223.4;55334;3638.8
4;euc;145.5;65112;3805.7
media ;euc;388.52;200510.8;3600.74
4;man;15.1;17470;3778
4;man;61.7;56687;3868
4;man;363.8;178156;4196
4;man;51.9;66108;4528
4;man;84.5;15498;4740
media ;man;115.4;66783.8;4222
5;euc;inf;inf;inf
5;euc;inf;inf;inf
5;euc;inf;inf;inf
5;euc;inf;inf;inf
5;euc;inf;inf;inf
5;man;inf;inf;inf
5;man;inf;inf;inf
5;man;inf;inf;inf
5;man;inf;inf;inf
5;man;inf;inf;inf
6;euc;inf;inf;inf
6;euc;inf;inf;inf
6;euc;inf;inf;inf
6;euc;inf;inf;inf
6;euc;inf;inf;inf
6;man;inf;inf;inf
6;man;inf;inf;inf
6;man;inf;inf;inf
6;man;inf;inf;inf
6;man;inf;inf;inf
7;euc;inf;inf;inf
7;euc;inf;inf;inf
7;euc;inf;inf;inf
7;euc;inf;inf;inf
7;euc;inf;inf;inf
7;man;inf;inf;inf
7;man;inf;inf;inf
7;man;inf;inf;inf
7;man;inf;inf;inf
7;man;inf;inf;inf
8;euc;inf;inf;inf
8;euc;inf;inf;inf
8;euc;inf;inf;inf
8;euc;inf;inf;inf
8;euc;inf;inf;inf
8;man;inf;inf;inf
8;man;inf;inf;inf
8;man;inf;inf;inf
8;man;inf;inf;inf
8;man;inf;inf;inf
9;euc;inf;inf;inf
9;euc;inf;inf;inf
9;euc;inf;inf;inf
9;euc;inf;inf;inf
9;euc;inf;inf;inf
9;man;inf;inf;inf
9;man;inf;inf;inf
9;man;inf;inf;inf
9;man;inf;inf;inf
9;man;inf;inf;inf
10;euc;inf;inf;inf
10;euc;inf;inf;inf
10;euc;inf;inf;inf
10;euc;inf;inf;inf
10;euc;inf;inf;inf
10;man;inf;inf;inf
10;man;inf;inf;inf
10;man;inf;inf;inf
10;man;inf;inf;inf
10;man;inf;inf;inf
