Instancia;Metrica;Tempo;Memoria;Custo;;
4;euc;0.00;2668510.00;3892.60;;
4;euc;0.00;2668510.00;3783.85;;
4;euc;0.24;2669136.00;4254.01;;
4;euc;0.00;2666116.00;3582.21;;
4;euc;0.00;2669002.00;3139.12;;
media;euc;0.05;2668254.80;3730.36;;
4;man;0.00;2657182.00;4080.00;;
4;man;0.00;2656796.00;4048.00;;
4;man;0.00;2655434.00;4520.00;;
4;man;0.00;2658204.00;4968.00;;
4;man;0.00;2656081.00;4544.00;;
media;man;0.00;2656739.40;4432.00;;
5;euc;0.00;3018395.00;5525.75;;
5;euc;0.00;3078856.00;5658.22;;
5;euc;0.00;3012700.00;4297.10;;
5;euc;0.00;3015602.00;4819.31;;
5;euc;0.00;3016931.00;5439.31;;
media;euc;0.00;3028496.80;5147.94;;
5;man;0.00;3008025.00;7000.00;;
5;man;0.00;3056572.00;7386.00;;
5;man;0.00;3054845.00;6346.00;;
5;man;0.00;3009617.00;6896.00;;
5;man;0.00;3050724.00;6856.00;;
media;man;0.00;3035956.60;6896.80;;
6;euc;0.01;3820341.00;7195.81;;
6;euc;0.01;3821328.00;7303.55;;
6;euc;0.03;3816369.00;7384.22;;
6;euc;0.01;3820198.00;7219.66;;
6;euc;0.00;3816113.00;7169.00;;
media;euc;0.01;3818869.80;7254.45;;
6;man;0.01;3817589.00;9652.00;;
6;man;0.03;3809529.00;9750.00;;
6;man;0.03;3811734.00;9754.00;;
6;man;0.00;3810421.00;9532.00;;
6;man;0.01;3812600.00;9868.00;;
media;man;0.02;3812374.60;9711.20;;
7;euc;0.12;5281306.00;10374.18;;
7;euc;0.14;5424205.00;10347.07;;
7;euc;0.09;5338629.00;10503.14;;
7;euc;0.09;5439145.00;10410.01;;
7;euc;0.09;5259935.00;10043.39;;
media;euc;0.11;5348644.00;10335.56;;
7;man;0.07;5403719.00;12820.00;;
7;man;0.09;5453200.00;13656.00;;
7;man;0.07;5367548.00;12718.00;;
7;man;0.07;5449167.00;13442.00;;
7;man;0.01;5411151.00;12872.00;;
media;man;0.06;5416957.00;13101.60;;
8;euc;0.06;11144801.00;14330.93;;
8;euc;0.59;11516158.00;14985.19;;
8;euc;0.06;11343163.00;14541.99;;
8;euc;0.98;11484664.00;14787.66;;
8;euc;0.65;11213336.00;14239.81;;
media;euc;0.47;11340424.40;14577.12;;
8;man;0.50;11127621.00;18060.00;;
8;man;0.79;11583735.00;18244.00;;
8;man;0.52;11066559.00;17974.00;;
8;man;0.75;11234488.00;17804.00;;
8;man;0.49;11360837.00;17922.00;;
media;man;0.61;11274648.00;18000.80;;
9;euc;4.20;18592510.00;20058.75;;
9;euc;4.30;18576478.00;20342.63;;
9;euc;6.50;18614234.00;20337.13;;
9;euc;5.70;18600638.00;19947.31;;
9;euc;5.80;18599246.00;20632.10;;
media;euc;5.30;18596621.20;20263.58;;
9;man;4.30;18598506.00;25448.00;;
9;man;4.10;18631854.00;25478.00;;
9;man;4.90;18626462.00;25664.00;;
9;man;4.60;18605722.00;24804.00;;
9;man;4.40;18637490.00;25204.00;;
media;man;4.46;18620006.80;25319.60;;
10;euc;38.20;73593454.00;28477.38;;
10;euc;39.10;73588906.00;28288.72;;
10;euc;39.30;73622838.00;28079.77;;
10;euc;34.80;73635138.00;27941.09;;
10;euc;41.20;73597050.00;28457.51;;
media;euc;38.52;73607477.20;28248.89;;
10;man;28.70;73642850.00;35714.00;;
10;man;28.10;73639930.00;35546.00;;
10;man;24.10;74204366.00;35168.00;;
10;man;25.90;73636486.00;35806.00;;
10;man;30.58;73608146.00;35480.00;;
media;man;27.48;73746355.60;35542.80;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
