Instancia;Metrica;Tempo;Memoria;Custo;;
4;euc;0.00;2668510.00;4305.20;;
4;euc;0.00;2669136.00;4839.00;;
4;euc;0.00;2666116.00;4911.90;;
4;euc;0.00;2669002.00;3635.00;;
4;euc;0.00;2669002.00;3982.01;;
media;euc;0.00;2668353.20;4334.62;;
4;man;0.00;2656796.00;5392.00;;
4;man;0.00;2655434.00;5770.00;;
4;man;0.00;2656081.00;4208.00;;
4;man;0.00;2656081.00;4976.00;;
4;man;0.00;2660239.00;5314.00;;
media ;man;0.00;2656926.20;5132.00;;
5;euc;0.00;2657182.00;5800.10;;
5;euc;0.00;2656796.00;5432.00;;
5;euc;0.00;2655434.00;6704.10;;
5;euc;0.00;2658204.00;5835.00;;
5;euc;0.00;3018395.00;6378.80;;
media;euc;0.00;2729202.20;6030.00;;
5;man;0.00;3008025.00;7176.00;;
5;man;0.00;3056572.00;8608.00;;
5;man;0.00;3054845.00;8066.00;;
5;man;0.00;3009617.00;6430.00;;
5;man;0.00;3050724.00;8112.00;;
media ;man;0.00;3035956.60;7678.40;;
6;euc;0.00;3820341.00;7829.90;;
6;euc;0.00;3821328.00;7717.50;;
6;euc;0.00;3816369.00;8588.60;;
6;euc;0.00;3820198.00;8814.60;;
6;euc;0.00;3816113.00;7637.00;;
media;euc;0.00;3818869.80;8117.52;;
6;man;0.00;3817589.00;10378.00;;
6;man;0.00;3809529.00;10928.00;;
6;man;0.00;3811734.00;10096.00;;
6;man;0.00;3810421.00;11480.00;;
6;man;0.00;3812600.00;11054.00;;
media ;man;0.00;3812374.60;10787.20;;
7;euc;0.00;5281306.00;10633.40;;
7;euc;0.00;5424205.00;11212.30;;
7;euc;0.00;5338629.00;11844.70;;
7;euc;0.00;5439145.00;12251.00;;
7;euc;0.00;5259935.00;11922.00;;
media;euc;0.00;5348644.00;11572.68;;
7;man;0.02;5403719.00;16362.00;;
7;man;0.02;5453200.00;16138.00;;
7;man;0.00;5367548.00;14518.00;;
7;man;0.00;5449167.00;14958.00;;
7;man;0.01;5411151.00;14326.00;;
media ;man;0.01;5416957.00;15260.40;;
8;euc;0.16;11144801.00;17411.10;;
8;euc;0.03;11516158.00;16357.70;;
8;euc;0.03;11343163.00;15760.00;;
8;euc;0.03;11484664.00;16522.30;;
8;euc;0.03;11213336.00;16270.00;;
media;euc;0.06;11340424.40;16464.22;;
8;man;0.03;11127621.00;20338.00;;
8;man;0.03;11583735.00;20938.00;;
8;man;0.03;11066559.00;21158.00;;
8;man;0.03;11234488.00;19994.00;;
8;man;0.03;11360837.00;21306.00;;
media ;man;0.03;11274648.00;20746.80;;
9;euc;0.18;18592510.00;23515.00;;
9;euc;0.17;18576478.00;22571.00;;
9;euc;0.17;18614234.00;23276.00;;
9;euc;0.20;18600638.00;22525.00;;
9;euc;0.20;18599246.00;22790.00;;
media;euc;0.18;18596621.20;22935.40;;
9;man;0.18;18598506.00;28808.00;;
9;man;0.19;18631854.00;28162.00;;
9;man;0.19;18626462.00;27828.00;;
9;man;0.19;18605722.00;29246.00;;
9;man;0.21;18637490.00;28838.00;;
media ;man;0.19;18620006.80;28576.40;;
10;euc;1.40;73593454.00;32116.00;;
10;euc;1.47;73588906.00;31873.00;;
10;euc;1.77;73622838.00;31960.00;;
10;euc;1.86;73635138.00;31826.00;;
10;euc;1.55;73597050.00;31971.00;;
media;euc;1.61;73607477.20;31949.20;;
10;man;1.00;73642850.00;40198.00;;
10;man;0.95;73639930.00;41418.00;;
10;man;0.98;74204366.00;41696.00;;
10;man;0.95;73636486.00;40606.00;;
10;man;0.96;73608146.00;40920.00;;
media ;man;0.97;73746355.60;40967.60;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
